category,abs_weight_error,abs_volume_error,count
지갑,0.15116279069767444,0.9671302547484022,2
화장품/미용>클렌징>클렌징비누,0.4741010613020751,0.9666958403914926,2
수선 서비스 > OLO Relay Market > ,0.7500000000000001,0.9666666666666668,1
스포츠/레저>골프>골프잡화>장갑,0.2523364485981308,0.966531864454051,1
홈 > CLOTHING > ,0.425287356321839,0.9664929262844378,1
화장품/미용>마스크/팩>마스크시트,0.720066739533312,0.9662364200560933,9
건강/의료용품 > 호흡/수면건강용품 > 마스크,0.5272090292057442,0.9662331819656793,3
문구/사무용품 > 팬시용품 > 기타팬시용품,0.6090225563909775,0.9661883870682222,2
undefined > 0 > 한국어 > ENGLISH > 中文 > 日本 > 검색 > ,0.5951417004048584,0.9659090909090908,1
도서>잡지>여성/남성/패션,0.88394584139265,0.9658900738310092,1
상세정보 > 상품평 > Q&A > 배송/교환/반품 정보 > ,0.2903225806451613,0.96588693957115,1
Home > top > ,0.6254681647940075,0.9658569278822444,1
헤어트리트먼트/팩/앰플,0.2592592592592593,0.9657754010695188,1
디지털/가전>음향가전>이어폰/헤드폰액세서리>캡/솜/팁,0.7375575465126548,0.9656442108533371,36
패션의류>남성의류>카디건,0.6360153256704981,0.9656342489826117,2
아우터 > 트레이닝 재킷,0.7014742979845151,0.9655540018770117,2
All > Home > Fragrance > Books > ,0.411764705882353,0.9655073296924404,1
바디/헤어 > 헤어스타일링 > 염색약,0.7687861271676301,0.9655019998059488,1
화장품/향수 > 이미용소품 > 퍼프,0.7812574707147979,0.9653478643728937,2
스포츠/레저 > 야구 > 굿즈(카드/사인볼 등) > ,0.5983879717895063,0.9652121869637482,3
로그인 > 회원가입 > 장바구니 > 주문조회 > 마이페이지 > 배송조회 > ,0.6428571428571429,0.965,1
Home > WOMENS > TOP > TOP & T-SHIRTS > ,0.2957746478873239,0.9648399043645398,1
Home > NEW ARRIVALS > ,0.4871794871794871,0.9648265754763068,1
